run	range	var_eps	gamma	n1	cv1	gamma1	var1	n2	cv2	gamma2	var2	fitting2	range2	cv2a	n3	cv3	gamma3	var3	fitting3	range3	cv3a
1	2000	2000	0	319	0.0167	0	0	36	0.0399	0.0338293158252398	0.000286105652300954	0.916525743409334	597.750935893154	0.0125	105	0.0299	0.0735649276405722	0.00135294964469066	0.970918216012095	2622.04521049213	0.0162
2	2000	2000	0.05	254	0.0192	0.0237078956358513	0.000140516078870105	37	0.0407	0.0667202517181385	0.00111289799733294	0.918223964529349	601.369741877927	0.0148	110	0.03	0.251238760934201	0.0157802287489382	0.958247261476862	2147.53409495708	0.0192
3	2000	2000	0.1	275	0.0188	0.0905659824002012	0.00205054929202839	37	0.041	0.107034484231549	0.00286409520367843	0.920477533798207	612.064980690581	0.0139	120	0.0304	0.355978096955451	0.0316801013780061	0.936359067121888	2115.64703339942	0.0187
4	2000	2000	0.15	297	0.0305	0.176710049903887	0.00780661043425858	34	0.0435	0.115100961965169	0.00331205786132683	0.912344080805958	338.628077830575	0.0131	134	0.0286	0.470696356168313	0.0553887649275319	0.904830922288432	2051.91244058234	0.0191
5	2000	2000	0.2	338	0.0297	0.279579854106989	0.0195412237056213	38	0.0411	0.261457711768365	0.0170900337607874	0.918498859544923	632.848455898404	0.0126	156	0.03	0.562596263748298	0.0791286389958862	0.860452989759119	2013.68650403949	0.0195
6	2000	2000	0.25	395	0.0282	0.394713227695286	0.0389496330294076	44	0.0397	0.338490062226551	0.0286438805565336	0.910208622123108	626.943933563806	0.0128	188	0.03	0.660633706089597	0.109109223405419	0.801488334099341	1566.27443566329	0.0194
7	2000	2000	0.3	462	0.0281	0.511502326384884	0.065408657474287	67	0.0365	0.318134858340461	0.0253024470228263	0.889674698006706	3143.50002582941	0.0128	229	0.0297	0.750693139559612	0.140885047445467	0.731737690778003	1534.25975959027	0.0196
8	2000	2000	0.35	530	0.0278	0.62503879597993	0.0976683741200102	78	0.0366	0.343909417424652	0.0295684218483409	0.876029190939176	3045.99639543635	0.0127	276	0.0292	0.837825318129908	0.17548781592487	0.658967647010116	1468.04124265074	0.02
9	2000	2000	0.4	591	0.027	0.742196497563714	0.137713910248961	95	0.037	0.377218917157593	0.0355735278653867	0.8598970795274	2958.86339587838	0.0124	340	0.03	0.923911342371279	0.213403042140574	0.585111668154248	1192.56885685261	0.0208
10	2000	2000	0.45	653	0.022	0.863350386375739	0.186343472413784	119	0.0361	0.423836055951683	0.0449092505811695	0.842080869467479	2878.38902101705	0.0135	402	0.0287	1.01272893454754	0.25640497371745	0.517277025589905	1153.36630543755	0.022
11	2000	2000	0.5	690	0.0255	0.975659312934847	0.237977773729124	146	0.0352	0.470308633255382	0.0552975526286363	0.824941828074574	2804.57854462733	0.0137	462	0.0295	1.1343680249127	0.321697703986084	0.464584211961535	1116.80544148555	0.0217
12	2000	2000	0.55	707	0.0234	1.0793289240405	0.291237731567606	171	0.0349	0.513748174550269	0.0659842967134334	0.810483194106675	2719.45438939374	0.0146	505	0.0299	1.16151259067746	0.337277874575568	0.429762466319412	774.058292373996	0.0241
13	2000	2000	0.6	709	0.0238	1.17581489553444	0.345635167140164	196	0.036	0.557013580229652	0.0775660321400637	0.797702865238538	2643.27747348625	0.0149	467	0.0336	1.22549086005744	0.375456962021078	0.410684659449943	2441.42653385079	0.025
14	2000	2000	0.65	695	0.0255	1.27042339162637	0.40349389849786	223	0.0349	0.597421258047405	0.0892280398917361	0.786750178610419	2575.58983202558	0.0173	479	0.0356	1.29270745778314	0.417773142852037	0.399247729321585	2388.70268289643	0.0263
15	2000	2000	0.7	676	0.0268	1.36361568216693	0.464861932162894	240	0.0368	0.638068632549786	0.101782894960988	0.776673961013311	2517.30379125666	0.0184	483	0.0353	1.35359584548285	0.458055428227105	0.392439488591083	2345.31091572606	0.0287
16	2000	2000	0.75	654	0.0277	1.45518236880598	0.529388931620947	258	0.0372	0.67899003985503	0.115256868555584	0.767672495286669	2463.41549615912	0.0197	541	0.0346	1.41624262664916	0.501435794384531	0.388670702636315	687.519169054575	0.0291
17	2000	2000	0.8	626	0.03	1.54286950043029	0.595111573839502	272	0.0359	0.715658112832454	0.128041633615727	0.758983693794372	2407.11514248354	0.0207	518	0.0371	1.48276050776126	0.549644680844104	0.388284353897377	1233.14790973553	0.0302
18	2000	2000	0.85	606	0.0304	1.62464833831742	0.659870555799392	285	0.0386	0.750230837267826	0.140711577296896	0.750789692419041	2351.54184596929	0.0208	508	0.0361	1.54420711515977	0.596143903627511	0.390242809599797	1189.25251078198	0.0316
19	2000	2000	0.9	581	0.0315	1.69960031946912	0.722160311484882	289	0.036	0.859969104905724	0.184886715348088	0.74788642464911	1230.83168798194	0.0232	488	0.0377	1.60269619823389	0.642158775958343	0.393077477187935	1426.50632609994	0.0336
20	2000	2000	0.95	559	0.0327	1.76685670634071	0.780445655185288	324	0.0373	0.810667243167994	0.164295344786399	0.737675442446145	1471.74308467377	0.0244	481	0.04	1.65826797019182	0.687463165241025	0.39623244831289	1370.04454439483	0.0352
21	2000	2000	1	539	0.0348	1.82440764415353	0.832115813011462	322	0.0374	0.837775405938506	0.175466907698857	0.730887510130324	1407.02166142176	0.0258	469	0.0399	1.71004215023202	0.731061038892539	0.399448039627353	1315.80210222047	0.035
